"Accession" "Species" "Latitude" "Longitude" "groups"
"SLMB-28-4" "Populus trichocarpa" 50.216667 -125.816667 "South CA trichocarpa"
"SQMC-25-2" "Populus trichocarpa" 50.1 -123.366667 "South CA trichocarpa"
"STKD-5-1" "Populus trichocarpa" 57.333333 -131.783333 "Northern CA trichocarpa"
"TRTB-7-6" "Populus trichocarpa" 56.566667 -129.816667 "Northern CA trichocarpa"
"YALD-27-4" "Populus trichocarpa" 49.566667 -121.466667 "South CA trichocarpa"
"SKWF-24-5" "Populus trichocarpa" 50.25 -123.933333 "South CA trichocarpa"
"SQMC-25-1" "Populus trichocarpa" 50.1 -123.366667 "South CA trichocarpa"
"TLKH-11-1" "Populus trichocarpa" 54.666667 -127.116667 "Central CA trichocarpa"
"TRTB-7-5" "Populus trichocarpa" 56.566667 -129.816667 "Northern CA trichocarpa"
"WHTE-28-1" "Populus trichocarpa" 50.133333 -126.05 "South CA trichocarpa"
"YALD-27-3" "Populus trichocarpa" 49.566667 -121.466667 "South CA trichocarpa"
"SKWF-24-4" "Populus trichocarpa" 50.25 -123.933333 "South CA trichocarpa"
"SQMB-25-4" "Populus trichocarpa" 49.95 -123.3 "South CA trichocarpa"
"STHB-21-5" "Populus trichocarpa" 50.883333 -124.733333 "South CA trichocarpa"
"SKWF-24-2" "Populus trichocarpa" 50.25 -123.933333 "South CA trichocarpa"
"SLMD-28-3" "Populus trichocarpa" 50.283333 -125.866667 "South CA trichocarpa"
"STHB-21-4" "Populus trichocarpa" 50.883333 -124.733333 "South CA trichocarpa"
"TOBA-23-2" "Populus trichocarpa" 50.516667 -124.233333 "South CA trichocarpa"
"WELC-27-5" "Populus trichocarpa" 49.666667 -121.416667 "South CA trichocarpa"
"WLOW-15-5" "Populus trichocarpa" 53.916667 -122.283333 "Inland trichocarpa"
"YALE-27-4" "Populus trichocarpa" 49.566667 -121.4 "South CA trichocarpa"
"SKWE-24-5" "Populus trichocarpa" 50.216667 -123.95 "South CA trichocarpa"
"SLMD-28-1" "Populus trichocarpa" 50.283333 -125.866667 "South CA trichocarpa"
"STHB-21-3" "Populus trichocarpa" 50.883333 -124.733333 "South CA trichocarpa"
"WELC-27-3" "Populus trichocarpa" 49.666667 -121.416667 "South CA trichocarpa"
"WLOW-15-4" "Populus trichocarpa" 53.916667 -122.283333 "Inland trichocarpa"
"SKWE-24-4" "Populus trichocarpa" 50.216667 -123.95 "South CA trichocarpa"
"SLMC-28-3" "Populus trichocarpa" 50.266667 -125.833333 "South CA trichocarpa"
"STHB-21-2" "Populus trichocarpa" 50.883333 -124.733333 "South CA trichocarpa"
"STKF-5-1" "Populus trichocarpa" 57.65 -131.566667 "Northern CA trichocarpa"
"VNDL-27-4" "Populus trichocarpa" 49.15 -122.1 "South CA trichocarpa"
"WHTE-28-5" "Populus trichocarpa" 50.133333 -126.05 "South CA trichocarpa"
"YALE-27-2" "Populus trichocarpa" 49.566667 -121.4 "South CA trichocarpa"
"SKWE-24-3" "Populus trichocarpa" 50.216667 -123.95 "South CA trichocarpa"
"SLMC-28-2" "Populus trichocarpa" 50.266667 -125.833333 "South CA trichocarpa"
"SQMC-25-5" "Populus trichocarpa" 50.1 -123.366667 "South CA trichocarpa"
"STKE-5-3" "Populus trichocarpa" 57.516667 -131.783333 "Northern CA trichocarpa"
"VNDL-27-3" "Populus trichocarpa" 49.15 -122.1 "South CA trichocarpa"
"WHTE-28-4" "Populus trichocarpa" 50.133333 -126.05 "South CA trichocarpa"
"SKWE-24-2" "Populus trichocarpa" 50.216667 -123.95 "South CA trichocarpa"
"SLMC-28-1" "Populus trichocarpa" 50.266667 -125.833333 "South CA trichocarpa"
"SQMC-25-4" "Populus trichocarpa" 50.1 -123.366667 "South CA trichocarpa"
"STKD-5-3" "Populus trichocarpa" 57.333333 -131.783333 "Northern CA trichocarpa"
"TRTB-7-7" "Populus trichocarpa" 56.566667 -129.816667 "Northern CA trichocarpa"
"YALD-27-5" "Populus trichocarpa" 49.566667 -121.466667 "South CA trichocarpa"
"STHA-21-3" "Populus trichocarpa" 50.816667 -124.483333 "South CA trichocarpa"
"BULF-11-2" "Populus trichocarpa" 54.55 -126.833333 "Central CA trichocarpa"
"STKB-5-4" "Populus trichocarpa" 56.66 -131.783333 "Northern CA trichocarpa"
"VNDL-27-5" "Populus trichocarpa" 49.15 -122.1 "South CA trichocarpa"
"CARS-29-3" "Populus trichocarpa" 45.75 -122.833333 "US trichocarpa"
"SQMA-25-1" "Populus trichocarpa" 49.866667 -123.233333 "South CA trichocarpa"
"SKWD-24-1" "Populus trichocarpa" 50.25 -124.016667 "South CA trichocarpa"
"MTSM-27-3" "Populus trichocarpa" 49.116667 -122.333333 "South CA trichocarpa"
"LONG-29-4" "Populus trichocarpa" 46.083333 -123.916667 "US trichocarpa"
"CARS-29-2" "Populus trichocarpa" 45.75 -122.833333 "US trichocarpa"
"SLMD-28-5" "Populus trichocarpa" 50.283333 -125.866667 "South CA trichocarpa"
"NPLN-30-4" "Populus trichocarpa" 45.566667 -123 "US trichocarpa"
"SKNQ-10-3" "Populus trichocarpa" 54.583333 -128.416667 "Central CA trichocarpa"
"WLOW-15-1" "Populus trichocarpa" 53.916667 -122.283333 "Inland trichocarpa"
"SKNM-10-2" "Populus trichocarpa" 54.4 -128.983333 "Central CA trichocarpa"
"WELC-27-1" "Populus trichocarpa" 49.666667 -121.416667 "South CA trichocarpa"
"SKNP-10-9" "Populus trichocarpa" 54.55 -128.466667 "Central CA trichocarpa"
"STHA-21-5" "Populus trichocarpa" 50.816667 -124.483333 "South CA trichocarpa"
"TOBB-23-3" "Populus trichocarpa" 50.566667 -124.083333 "South CA trichocarpa"
"TAKB-3-4" "Populus trichocarpa" 58.7 -133.4 "Northern CA trichocarpa"
"TAKB-3-3" "Populus trichocarpa" 58.7 -133.4 "Northern CA trichocarpa"
"TOBA-23-5" "Populus trichocarpa" 50.516667 -124.233333 "South CA trichocarpa"
"ZYMJ-10-1" "Populus trichocarpa" 54.466667 -127.933333 "Central CA trichocarpa"
"TATB-1-4" "Populus trichocarpa" 59.433333 -137.833333 "Northern CA trichocarpa"
"SKNN-10-3" "Populus trichocarpa" 54.283333 -129.366667 "Central CA trichocarpa"
"HRSO-27-4" "Populus trichocarpa" 49.283333 -121.95 "South CA trichocarpa"
"SKWD-24-3" "Populus trichocarpa" 50.25 -124.016667 "South CA trichocarpa"
"WLOW-15-3" "Populus trichocarpa" 53.916667 -122.283333 "Inland trichocarpa"
"WELC-27-4" "Populus trichocarpa" 49.666667 -121.416667 "South CA trichocarpa"
"ALAA-20-1" "Populus trichocarpa" 50.983333 -126.116667 "South CA trichocarpa"
"SKWD-24-5" "Populus trichocarpa" 50.25 -124.016667 "South CA trichocarpa"
"SLMB-28-2" "Populus trichocarpa" 50.216667 -125.816667 "South CA trichocarpa"
"TOBB-23-2" "Populus trichocarpa" 50.566667 -124.083333 "South CA trichocarpa"
"SKWA-24-2" "Populus trichocarpa" 50.216667 -123.983333 "South CA trichocarpa"
"SQMB-25-3" "Populus trichocarpa" 49.95 -123.3 "South CA trichocarpa"
"TOBB-23-4" "Populus trichocarpa" 50.566667 -124.083333 "South CA trichocarpa"
"SKWD-24-4" "Populus trichocarpa" 50.25 -124.016667 "South CA trichocarpa"
"QLKE-16-4" "Populus trichocarpa" 52.966667 -122.316667 "Inland trichocarpa"
"TAKB-3-5" "Populus trichocarpa" 58.7 -133.4 "Northern CA trichocarpa"
"SQMA-25-5" "Populus trichocarpa" 49.866667 -123.233333 "South CA trichocarpa"
"STHA-21-4" "Populus trichocarpa" 50.816667 -124.483333 "South CA trichocarpa"
"SKWF-24-3" "Populus trichocarpa" 50.25 -123.933333 "South CA trichocarpa"
"SKWC-24-4" "Populus trichocarpa" 50.25 -124 "South CA trichocarpa"
"BELA-18-1" "Populus trichocarpa" 52.416667 -126.166667 "South CA trichocarpa"
"YALD-27-2" "Populus trichocarpa" 49.566667 -121.466667 "South CA trichocarpa"
"ALAA-20-2" "Populus trichocarpa" 50.983333 -126.116667 "South CA trichocarpa"
"SLMB-28-3" "Populus trichocarpa" 50.216667 -125.816667 "South CA trichocarpa"
"SKNQ-10-4" "Populus trichocarpa" 54.583333 -128.416667 "Central CA trichocarpa"
"WHTE-28-3" "Populus trichocarpa" 50.133333 -126.05 "South CA trichocarpa"
"TATB-1-7" "Populus trichocarpa" 59.433333 -137.833333 "Northern CA trichocarpa"
"WELC-27-2" "Populus trichocarpa" 49.666667 -121.416667 "South CA trichocarpa"
"TOBA-23-4" "Populus trichocarpa" 50.516667 -124.233333 "South CA trichocarpa"
"ZYMJ-10-5" "Populus trichocarpa" 54.466667 -127.933333 "Central CA trichocarpa"
"SLMB-28-1" "Populus trichocarpa" 50.216667 -125.816667 "South CA trichocarpa"
"SQMA-25-4" "Populus trichocarpa" 49.866667 -123.233333 "South CA trichocarpa"
"SKWA-24-3" "Populus trichocarpa" 50.216667 -123.983333 "South CA trichocarpa"
"BELA-18-2" "Populus trichocarpa" 52.416667 -126.166667 "South CA trichocarpa"
"SKWC-24-3" "Populus trichocarpa" 50.25 -124 "South CA trichocarpa"
"SKNR-10-1" "Populus trichocarpa" 54.683333 -128.35 "Central CA trichocarpa"
"YALE-27-3" "Populus trichocarpa" 49.566667 -121.4 "South CA trichocarpa"
"HRSO-27-2" "Populus trichocarpa" 49.283333 -121.95 "South CA trichocarpa"
"DEND-17-1" "Populus trichocarpa" 52.816667 -126.95 "South CA trichocarpa"
"FBKO-31-10" "Populus balsamifera" 64.9 -146.35 "Alaska balsamifera"
"DENO-31-1" "Populus balsamifera" 63.87 -149.02 "Alaska balsamifera"
"FTMO-31-2" "Populus balsamifera" 56.92 -111.5 "East balsamifera"
"INUO-31-9" "Populus balsamifera" 68.38 -133.77 "Northern balsamifera"
"GPRO-31-1" "Populus balsamifera" 54.75 -118.63 "East balsamifera"
"HAYO-31-6" "Populus balsamifera" 60.8 -115.78 "Northeast balsamifera"
"CGYO-31-8" "Populus balsamifera" 50.82 -113.42 "East balsamifera"
"WHRO-31-1" "Populus balsamifera" 60.7 -135.33 "Northern balsamifera"
