"Accession" "Species" "Latitude" "Longitude" "groups"
"CHWI-27-4" "Populus trichocarpa" 49.1 -121.633333 "South CA trichocarpa"
"CMBF-28-3" "Populus trichocarpa" 49.95 -125.25 "South CA trichocarpa"
"CSYJ-28-1" "Populus trichocarpa" 49.066667 -123.866667 "South CA trichocarpa"
"DENB-17-1" "Populus trichocarpa" 52.833333 -126.7 "South CA trichocarpa"
"DENC-17-5" "Populus trichocarpa" 52.833333 -126.8 "South CA trichocarpa"
"ELAD-25-4" "Populus trichocarpa" 50.25 -123.583333 "South CA trichocarpa"
"HALS-30-4" "Populus trichocarpa" 44.416667 -123.333333 "US trichocarpa"
"HARC-26-2" "Populus trichocarpa" 49.766667 -122.216667 "South CA trichocarpa"
"HIRD-12-2" "Populus trichocarpa" 54.066667 -128.45 "Central CA trichocarpa"
"HOMB-21-2" "Populus trichocarpa" 50.95 -124.9 "South CA trichocarpa"
"HOMC-21-5" "Populus trichocarpa" 51.233333 -124.95 "South CA trichocarpa"
"HOPF-27-3" "Populus trichocarpa" 49.433333 -121.433333 "South CA trichocarpa"
"IRVC-7-1" "Populus trichocarpa" 56.733333 -129.733333 "Northern CA trichocarpa"
"ISKA-6-2" "Populus trichocarpa" 56.7 -131.15 "Northern CA trichocarpa"
"JASP-30-3" "Populus trichocarpa" 44 -122.916667 "US trichocarpa"
"KLNB-20-2" "Populus trichocarpa" 51.3 -125.766667 "South CA trichocarpa"
"HALS-30-2" "Populus trichocarpa" 44.416667 -123.333333 "US trichocarpa"
"HARC-26-1" "Populus trichocarpa" 49.766667 -122.216667 "South CA trichocarpa"
"HAZH-10-5" "Populus trichocarpa" 55.216667 -127.666667 "Central CA trichocarpa"
"HOMB-21-1" "Populus trichocarpa" 50.95 -124.9 "South CA trichocarpa"
"HOMC-21-4" "Populus trichocarpa" 51.233333 -124.95 "South CA trichocarpa"
"HOPF-27-2" "Populus trichocarpa" 49.433333 -121.433333 "South CA trichocarpa"
"HRSO-27-1" "Populus trichocarpa" 49.283333 -121.95 "South CA trichocarpa"
"ISKA-6-1" "Populus trichocarpa" 56.7 -131.15 "Northern CA trichocarpa"
"JASP-30-1" "Populus trichocarpa" 44 -122.916667 "US trichocarpa"
"KIMB-16-1" "Populus trichocarpa" 52.933333 -121.166667 "Inland trichocarpa"
"KLNA-20-5" "Populus trichocarpa" 51.116667 -125.583333 "South CA trichocarpa"
"HALS-30-1" "Populus trichocarpa" 44.416667 -123.333333 "US trichocarpa"
"HARB-26-5" "Populus trichocarpa" 50.033333 -122.533333 "South CA trichocarpa"
"HAZH-10-3" "Populus trichocarpa" 55.216667 -127.666667 "Central CA trichocarpa"
"HOMA-21-5" "Populus trichocarpa" 50.933333 -124.85 "South CA trichocarpa"
"HOMC-21-3" "Populus trichocarpa" 51.233333 -124.95 "South CA trichocarpa"
"HOPF-27-1" "Populus trichocarpa" 49.433333 -121.433333 "South CA trichocarpa"
"HOPG-27-5" "Populus trichocarpa" 49.4 -121.55 "South CA trichocarpa"
"HRSP-27-4" "Populus trichocarpa" 49.233333 -121.85 "South CA trichocarpa"
"ISKC-6-5" "Populus trichocarpa" 56.933333 -130.333333 "Northern CA trichocarpa"
"JEFF-30-4" "Populus trichocarpa" 44.733333 -123.083333 "US trichocarpa"
"KLNA-20-4" "Populus trichocarpa" 51.116667 -125.583333 "South CA trichocarpa"
"GLCB-26-4" "Populus trichocarpa" 50.1 -123 "South CA trichocarpa"
"HARB-26-4" "Populus trichocarpa" 50.033333 -122.533333 "South CA trichocarpa"
"HAZH-10-2" "Populus trichocarpa" 55.216667 -127.666667 "Central CA trichocarpa"
"HOMA-21-4" "Populus trichocarpa" 50.933333 -124.85 "South CA trichocarpa"
"HOMC-21-2" "Populus trichocarpa" 51.233333 -124.95 "South CA trichocarpa"
"HOMD-21-5" "Populus trichocarpa" 51.283333 -124.833333 "South CA trichocarpa"
"HRSP-27-3" "Populus trichocarpa" 49.233333 -121.85 "South CA trichocarpa"
"IRVD-7-4" "Populus trichocarpa" 56.85 -129.616667 "Northern CA trichocarpa"
"ISKC-6-3" "Populus trichocarpa" 56.933333 -130.333333 "Northern CA trichocarpa"
"JEFF-30-3" "Populus trichocarpa" 44.733333 -123.083333 "US trichocarpa"
"KLNA-20-3" "Populus trichocarpa" 51.116667 -125.583333 "South CA trichocarpa"
"GLCB-26-3" "Populus trichocarpa" 50.1 -123 "South CA trichocarpa"
"HARB-26-3" "Populus trichocarpa" 50.033333 -122.533333 "South CA trichocarpa"
"HAZH-10-1" "Populus trichocarpa" 55.216667 -127.666667 "Central CA trichocarpa"
"HOMA-21-2" "Populus trichocarpa" 50.933333 -124.85 "South CA trichocarpa"
"HOMC-21-1" "Populus trichocarpa" 51.233333 -124.95 "South CA trichocarpa"
"HOMD-21-4" "Populus trichocarpa" 51.283333 -124.833333 "South CA trichocarpa"
"HOPG-27-2" "Populus trichocarpa" 49.4 -121.55 "South CA trichocarpa"
"HRSP-27-1" "Populus trichocarpa" 49.233333 -121.85 "South CA trichocarpa"
"IRVC-7-6" "Populus trichocarpa" 56.733333 -129.733333 "Northern CA trichocarpa"
"ISKC-6-2" "Populus trichocarpa" 56.933333 -130.333333 "Northern CA trichocarpa"
"JEFF-30-2" "Populus trichocarpa" 44.733333 -123.083333 "US trichocarpa"
"KIMB-16-6" "Populus trichocarpa" 52.933333 -121.166667 "Inland trichocarpa"
"GLCB-26-2" "Populus trichocarpa" 50.1 -123 "South CA trichocarpa"
"HARB-26-2" "Populus trichocarpa" 50.033333 -122.533333 "South CA trichocarpa"
"HOMA-21-1" "Populus trichocarpa" 50.933333 -124.85 "South CA trichocarpa"
"HOMB-21-5" "Populus trichocarpa" 50.95 -124.9 "South CA trichocarpa"
"HOMD-21-3" "Populus trichocarpa" 51.283333 -124.833333 "South CA trichocarpa"
"HOPG-27-1" "Populus trichocarpa" 49.4 -121.55 "South CA trichocarpa"
"IRVC-7-5" "Populus trichocarpa" 56.733333 -129.733333 "Northern CA trichocarpa"
"ISKC-6-1" "Populus trichocarpa" 56.933333 -130.333333 "Northern CA trichocarpa"
"JEFF-30-1" "Populus trichocarpa" 44.733333 -123.083333 "US trichocarpa"
"KIMB-16-5" "Populus trichocarpa" 52.933333 -121.166667 "Inland trichocarpa"
"GLCB-26-1" "Populus trichocarpa" 50.1 -123 "South CA trichocarpa"
"HARB-26-1" "Populus trichocarpa" 50.033333 -122.533333 "South CA trichocarpa"
"HARC-26-4" "Populus trichocarpa" 49.766667 -122.216667 "South CA trichocarpa"
"HIXN-16-5" "Populus trichocarpa" 53.4 -122.633333 "Inland trichocarpa"
"HOMB-21-4" "Populus trichocarpa" 50.95 -124.9 "South CA trichocarpa"
"HOMD-21-2" "Populus trichocarpa" 51.283333 -124.833333 "South CA trichocarpa"
"HOPF-27-5" "Populus trichocarpa" 49.433333 -121.433333 "South CA trichocarpa"
"ISKA-6-5" "Populus trichocarpa" 56.7 -131.15 "Northern CA trichocarpa"
"JASP-30-5" "Populus trichocarpa" 44 -122.916667 "US trichocarpa"
"KIMB-16-4" "Populus trichocarpa" 52.933333 -121.166667 "Inland trichocarpa"
"GLCA-26-1" "Populus trichocarpa" 49.866667 -122.45 "South CA trichocarpa"
"HARC-26-3" "Populus trichocarpa" 49.766667 -122.216667 "South CA trichocarpa"
"HIXN-16-1" "Populus trichocarpa" 53.4 -122.633333 "Inland trichocarpa"
"HOMB-21-3" "Populus trichocarpa" 50.95 -124.9 "South CA trichocarpa"
"HOMD-21-1" "Populus trichocarpa" 51.283333 -124.833333 "South CA trichocarpa"
"HOPF-27-4" "Populus trichocarpa" 49.433333 -121.433333 "South CA trichocarpa"
"ISKA-6-4" "Populus trichocarpa" 56.7 -131.15 "Northern CA trichocarpa"
"JASP-30-4" "Populus trichocarpa" 44 -122.916667 "US trichocarpa"
"KIMB-16-3" "Populus trichocarpa" 52.933333 -121.166667 "Inland trichocarpa"
"KLNE-20-2" "Populus trichocarpa" 51.733333 -125.566667 "South CA trichocarpa"
"KLNG-20-6" "Populus trichocarpa" 51.3 -125.766667 "South CA trichocarpa"
"KTMB-12-5" "Populus trichocarpa" 54.15 -128.583333 "Central CA trichocarpa"
"LAFY-30-1" "Populus trichocarpa" 45.2 -123.083333 "US trichocarpa"
"LILA-26-5" "Populus trichocarpa" 50.616667 -123.383333 "South CA trichocarpa"
"LILC-26-3" "Populus trichocarpa" 50.5 -123 "South CA trichocarpa"
"LNZK-28-4" "Populus trichocarpa" 49.233333 -124.066667 "South CA trichocarpa"
"MCFA-20-2" "Populus trichocarpa" 51.316667 -126.233333 "South CA trichocarpa"
"MCGR-15-8" "Populus trichocarpa" 54.183333 -122 "Inland trichocarpa"
"MCHB-19-3" "Populus trichocarpa" 51.616667 -126.583333 "South CA trichocarpa"
"MEMA-28-5" "Populus trichocarpa" 50.216667 -125.8 "South CA trichocarpa"
"NASD-8-4" "Populus trichocarpa" 55.216667 -129.133333 "Central CA trichocarpa"
"KLNE-20-1" "Populus trichocarpa" 51.733333 -125.566667 "South CA trichocarpa"
"KTMA-12-5" "Populus trichocarpa" 54.25 -128.516667 "Central CA trichocarpa"
"LILA-26-4" "Populus trichocarpa" 50.616667 -123.383333 "South CA trichocarpa"
"LILC-26-2" "Populus trichocarpa" 50.5 -123 "South CA trichocarpa"
"LNZK-28-3" "Populus trichocarpa" 49.233333 -124.066667 "South CA trichocarpa"
"MCFA-20-1" "Populus trichocarpa" 51.316667 -126.233333 "South CA trichocarpa"
"MCGR-15-7" "Populus trichocarpa" 54.183333 -122 "Inland trichocarpa"
"MCHB-19-2" "Populus trichocarpa" 51.616667 -126.583333 "South CA trichocarpa"
"MEMA-28-4" "Populus trichocarpa" 50.216667 -125.8 "South CA trichocarpa"
"NASD-8-2" "Populus trichocarpa" 55.216667 -129.133333 "Central CA trichocarpa"
"KLND-20-5" "Populus trichocarpa" 51.566667 -125.5 "South CA trichocarpa"
"KLNG-20-4" "Populus trichocarpa" 51.3 -125.766667 "South CA trichocarpa"
"LILC-26-1" "Populus trichocarpa" 50.5 -123 "South CA trichocarpa"
"LNZK-28-2" "Populus trichocarpa" 49.233333 -124.066667 "South CA trichocarpa"
"LONG-29-5" "Populus trichocarpa" 46.083333 -123.916667 "US trichocarpa"
"MCGR-15-6" "Populus trichocarpa" 54.183333 -122 "Inland trichocarpa"
"MCHB-19-1" "Populus trichocarpa" 51.616667 -126.583333 "South CA trichocarpa"
"MEMA-28-3" "Populus trichocarpa" 50.216667 -125.8 "South CA trichocarpa"
"NASC-8-5" "Populus trichocarpa" 55.05 -129.5 "Central CA trichocarpa"
"KLND-20-3" "Populus trichocarpa" 51.566667 -125.5 "South CA trichocarpa"
"KLNG-20-2" "Populus trichocarpa" 51.3 -125.766667 "South CA trichocarpa"
"KTMA-12-3" "Populus trichocarpa" 54.25 -128.516667 "Central CA trichocarpa"
"KTSG-10-5" "Populus trichocarpa" 55.1 -127.916667 "Central CA trichocarpa"
"LILA-26-2" "Populus trichocarpa" 50.616667 -123.383333 "South CA trichocarpa"
"LILB-26-5" "Populus trichocarpa" 50.55 -123.2 "South CA trichocarpa"
"LILD-26-5" "Populus trichocarpa" 50.3 -122.75 "South CA trichocarpa"
"MCGR-15-4" "Populus trichocarpa" 54.183333 -122 "Inland trichocarpa"
"MCHA-19-5" "Populus trichocarpa" 51.633333 -126.683333 "South CA trichocarpa"
"MEMA-28-1" "Populus trichocarpa" 50.216667 -125.8 "South CA trichocarpa"
"NASC-8-2" "Populus trichocarpa" 55.05 -129.5 "Central CA trichocarpa"
"KLND-20-2" "Populus trichocarpa" 51.566667 -125.5 "South CA trichocarpa"
"KLNG-20-1" "Populus trichocarpa" 51.3 -125.766667 "South CA trichocarpa"
"KTMA-12-2" "Populus trichocarpa" 54.25 -128.516667 "Central CA trichocarpa"
"KTMC-12-5" "Populus trichocarpa" 54.05 -128.683333 "Central CA trichocarpa"
"LILB-26-4" "Populus trichocarpa" 50.55 -123.2 "South CA trichocarpa"
"LILD-26-4" "Populus trichocarpa" 50.3 -122.75 "South CA trichocarpa"
"MCFA-20-6" "Populus trichocarpa" 51.316667 -126.233333 "South CA trichocarpa"
"MCHA-19-4" "Populus trichocarpa" 51.633333 -126.683333 "South CA trichocarpa"
"MCMN-27-5" "Populus trichocarpa" 49.183333 -122.583333 "South CA trichocarpa"
"MTSM-27-5" "Populus trichocarpa" 49.116667 -122.333333 "South CA trichocarpa"
"KLND-20-1" "Populus trichocarpa" 51.566667 -125.5 "South CA trichocarpa"
"KLNE-20-5" "Populus trichocarpa" 51.733333 -125.566667 "South CA trichocarpa"
"LAFY-30-5" "Populus trichocarpa" 45.2 -123.083333 "US trichocarpa"
"LILB-26-3" "Populus trichocarpa" 50.55 -123.2 "South CA trichocarpa"
"LILD-26-3" "Populus trichocarpa" 50.3 -122.75 "South CA trichocarpa"
"LONG-29-2" "Populus trichocarpa" 46.083333 -123.916667 "US trichocarpa"
"MCHA-19-3" "Populus trichocarpa" 51.633333 -126.683333 "South CA trichocarpa"
"MCMN-27-3" "Populus trichocarpa" 49.183333 -122.583333 "South CA trichocarpa"
"KLNC-20-2" "Populus trichocarpa" 51.533333 -125.55 "South CA trichocarpa"
"KLNE-20-4" "Populus trichocarpa" 51.733333 -125.566667 "South CA trichocarpa"
"KTMC-12-2" "Populus trichocarpa" 54.05 -128.683333 "Central CA trichocarpa"
"LAFY-30-3" "Populus trichocarpa" 45.2 -123.083333 "US trichocarpa"
"LILB-26-2" "Populus trichocarpa" 50.55 -123.2 "South CA trichocarpa"
"MCFA-20-4" "Populus trichocarpa" 51.316667 -126.233333 "South CA trichocarpa"
"MCHB-19-5" "Populus trichocarpa" 51.616667 -126.583333 "South CA trichocarpa"
"KLNB-20-3" "Populus trichocarpa" 51.3 -125.766667 "South CA trichocarpa"
"KLNE-20-3" "Populus trichocarpa" 51.733333 -125.566667 "South CA trichocarpa"
"KLNG-20-7" "Populus trichocarpa" 51.3 -125.766667 "South CA trichocarpa"
"KTMC-12-1" "Populus trichocarpa" 54.05 -128.683333 "Central CA trichocarpa"
"LAFY-30-2" "Populus trichocarpa" 45.2 -123.083333 "US trichocarpa"
"LILB-26-1" "Populus trichocarpa" 50.55 -123.2 "South CA trichocarpa"
"LILC-26-4" "Populus trichocarpa" 50.5 -123 "South CA trichocarpa"
"LNZK-28-5" "Populus trichocarpa" 49.233333 -124.066667 "South CA trichocarpa"
"MCFA-20-3" "Populus trichocarpa" 51.316667 -126.233333 "South CA trichocarpa"
"MCHB-19-4" "Populus trichocarpa" 51.616667 -126.583333 "South CA trichocarpa"
"MTSM-27-1" "Populus trichocarpa" 49.116667 -122.333333 "South CA trichocarpa"
"NBON-29-4" "Populus trichocarpa" 45.583333 -122 "US trichocarpa"
"NHTB-27-2" "Populus trichocarpa" 49.966667 -121.816667 "South CA trichocarpa"
"PHLA-22-1" "Populus trichocarpa" 50.6 -125.316667 "South CA trichocarpa"
"PHLC-22-4" "Populus trichocarpa" 50.683333 -125.25 "South CA trichocarpa"
"QAUS-16-1" "Populus trichocarpa" 52.716667 -122.466667 "Inland trichocarpa"
"QCTN-16-1" "Populus trichocarpa" 53.033333 -122.15 "Inland trichocarpa"
"QLKE-16-1" "Populus trichocarpa" 52.966667 -122.316667 "Inland trichocarpa"
"SHEL-15-6" "Populus trichocarpa" 54.033333 -122.6 "Inland trichocarpa"
"SKNL-10-3" "Populus trichocarpa" 54.45 -128.75 "Central CA trichocarpa"
"SKNN-10-5" "Populus trichocarpa" 54.283333 -129.366667 "Central CA trichocarpa"
"SKNP-10-10" "Populus trichocarpa" 54.55 -128.466667 "Central CA trichocarpa"
"SKWE-24-1" "Populus trichocarpa" 50.216667 -123.95 "South CA trichocarpa"
"NBON-29-2" "Populus trichocarpa" 45.583333 -122 "US trichocarpa"
"NHTB-27-1" "Populus trichocarpa" 49.966667 -121.816667 "South CA trichocarpa"
"PHLC-22-3" "Populus trichocarpa" 50.683333 -125.25 "South CA trichocarpa"
"QBKR-16-5" "Populus trichocarpa" 52.95 -122.866667 "Inland trichocarpa"
"QFRS-16-5" "Populus trichocarpa" 53.066667 -122.516667 "Inland trichocarpa"
"SKNL-10-1" "Populus trichocarpa" 54.45 -128.75 "Central CA trichocarpa"
"SKWC-24-1" "Populus trichocarpa" 50.25 -124 "South CA trichocarpa"
"NBON-29-1" "Populus trichocarpa" 45.583333 -122 "US trichocarpa"
"NHTA-27-5" "Populus trichocarpa" 50 -121.566667 "South CA trichocarpa"
"PHLC-22-2" "Populus trichocarpa" 50.683333 -125.25 "South CA trichocarpa"
"QBKR-16-4" "Populus trichocarpa" 52.95 -122.866667 "Inland trichocarpa"
"QFRS-16-4" "Populus trichocarpa" 53.066667 -122.516667 "Inland trichocarpa"
"SHEL-15-4" "Populus trichocarpa" 54.033333 -122.6 "Inland trichocarpa"
"SKNP-10-4" "Populus trichocarpa" 54.55 -128.466667 "Central CA trichocarpa"
"SKWB-24-4" "Populus trichocarpa" 50.233333 -124 "South CA trichocarpa"
"NHTA-27-3" "Populus trichocarpa" 50 -121.566667 "South CA trichocarpa"
"NPLN-30-3" "Populus trichocarpa" 45.566667 -123 "US trichocarpa"
"PHLC-22-1" "Populus trichocarpa" 50.683333 -125.25 "South CA trichocarpa"
"QBKR-16-3" "Populus trichocarpa" 52.95 -122.866667 "Inland trichocarpa"
"QFRS-16-3" "Populus trichocarpa" 53.066667 -122.516667 "Inland trichocarpa"
"SHEL-15-3" "Populus trichocarpa" 54.033333 -122.6 "Inland trichocarpa"
"SKNP-10-3" "Populus trichocarpa" 54.55 -128.466667 "Central CA trichocarpa"
"SKWB-24-3" "Populus trichocarpa" 50.233333 -124 "South CA trichocarpa"
"NASH-8-4" "Populus trichocarpa" 55.716667 -128.816667 "Central CA trichocarpa"
"NHTA-27-2" "Populus trichocarpa" 50 -121.566667 "South CA trichocarpa"
"NKND-3-2" "Populus trichocarpa" 58.933333 -133.183333 "Northern CA trichocarpa"
"PHLA-22-5" "Populus trichocarpa" 50.6 -125.316667 "South CA trichocarpa"
"QBKR-16-2" "Populus trichocarpa" 52.95 -122.866667 "Inland trichocarpa"
"QFRS-16-2" "Populus trichocarpa" 53.066667 -122.516667 "Inland trichocarpa"
"SHEL-15-2" "Populus trichocarpa" 54.033333 -122.6 "Inland trichocarpa"
"SKNC-10-2" "Populus trichocarpa" 54.766667 -128.266667 "Central CA trichocarpa"
"SKWB-24-2" "Populus trichocarpa" 50.233333 -124 "South CA trichocarpa"
"NASH-8-1" "Populus trichocarpa" 55.716667 -128.816667 "Central CA trichocarpa"
"KLNG-20-3" "Populus trichocarpa" 51.3 -125.766667 "South CA trichocarpa"
"NHTB-27-5" "Populus trichocarpa" 49.966667 -121.816667 "South CA trichocarpa"
"PHLA-22-4" "Populus trichocarpa" 50.6 -125.316667 "South CA trichocarpa"
"QAUS-16-7" "Populus trichocarpa" 52.716667 -122.466667 "Inland trichocarpa"
"QFRS-16-1" "Populus trichocarpa" 53.066667 -122.516667 "Inland trichocarpa"
"SHEL-15-1" "Populus trichocarpa" 54.033333 -122.6 "Inland trichocarpa"
"SKNC-10-1" "Populus trichocarpa" 54.766667 -128.266667 "Central CA trichocarpa"
"SKNM-10-3" "Populus trichocarpa" 54.4 -128.983333 "Central CA trichocarpa"
"SKNO-10-4" "Populus trichocarpa" 54.216667 -129.533333 "Central CA trichocarpa"
"SKWA-24-5" "Populus trichocarpa" 50.216667 -123.983333 "South CA trichocarpa"
"NASF-8-2" "Populus trichocarpa" 55.566667 -128.783333 "Central CA trichocarpa"
"NHTB-27-4" "Populus trichocarpa" 49.966667 -121.816667 "South CA trichocarpa"
"PHLA-22-3" "Populus trichocarpa" 50.6 -125.316667 "South CA trichocarpa"
"PITS-29-1" "Populus trichocarpa" 45.833333 -123.116667 "US trichocarpa"
"QAUS-16-4" "Populus trichocarpa" 52.716667 -122.466667 "Inland trichocarpa"
"QLKE-16-3" "Populus trichocarpa" 52.966667 -122.316667 "Inland trichocarpa"
"SKNB-10-2" "Populus trichocarpa" 54.683333 -128.383333 "Central CA trichocarpa"
"SKNM-10-1" "Populus trichocarpa" 54.4 -128.983333 "Central CA trichocarpa"
"SKNO-10-3" "Populus trichocarpa" 54.216667 -129.533333 "Central CA trichocarpa"
"SKWA-24-4" "Populus trichocarpa" 50.216667 -123.983333 "South CA trichocarpa"
"NASD-8-5" "Populus trichocarpa" 55.216667 -129.133333 "Central CA trichocarpa"
"MCFA-20-5" "Populus trichocarpa" 51.316667 -126.233333 "South CA trichocarpa"
"NHTB-27-3" "Populus trichocarpa" 49.966667 -121.816667 "South CA trichocarpa"
"PHLA-22-2" "Populus trichocarpa" 50.6 -125.316667 "South CA trichocarpa"
"PHLC-22-5" "Populus trichocarpa" 50.683333 -125.25 "South CA trichocarpa"
"QAUS-16-3" "Populus trichocarpa" 52.716667 -122.466667 "Inland trichocarpa"
"QCTN-16-3" "Populus trichocarpa" 53.033333 -122.15 "Inland trichocarpa"
"QLKE-16-2" "Populus trichocarpa" 52.966667 -122.316667 "Inland trichocarpa"
"SKNB-10-1" "Populus trichocarpa" 54.683333 -128.383333 "Central CA trichocarpa"
"SKNL-10-4" "Populus trichocarpa" 54.45 -128.75 "Central CA trichocarpa"
"SKNO-10-2" "Populus trichocarpa" 54.216667 -129.533333 "Central CA trichocarpa"
"SKNP-10-11" "Populus trichocarpa" 54.55 -128.466667 "Central CA trichocarpa"
